velocity,mean,rms,std,zero crossing rate,peak velocity,low peak velocity,crest factor,low crest factor
-0.007,0.017833333333333333,0.13354150416006752,0.17267855493179612,0.09166666666666666,0.303,-0.397,2.2689575192804,-2.972858531862438
-0.082,0.018363636363636363,0.13551249523064787,0.1723151063249203,0.09090909090909091,0.303,-0.397,2.23595617130569,-2.929619141941779
-0.106,0.019081967213114753,0.1381374938715581,0.172134251338137,0.09016393442622951,0.303,-0.397,2.1934667519140967,-2.8739481865013086
-0.082,0.01959349593495935,0.1399767692689017,0.17179116116301751,0.08943089430894309,0.303,-0.397,2.164644902026016,-2.8361849046347474
-0.009,0.01950806451612903,0.1396712730525824,0.17109681809680505,0.08870967741935484,0.303,-0.397,2.1693795250647483,-2.8423883546227895
0.025,0.019152,0.13839075113604954,0.17033133978220216,0.096,0.303,-0.397,2.189452673048403,-2.8686888158422974
0.036,0.01871428571428571,0.13680016708427556,0.1695635587427757,0.09523809523809523,0.303,-0.397,2.214909575463729,-2.9020432391389455
0.03,0.01833070866141732,0.13539094748696207,0.16881391864499284,0.09448818897637795,0.303,-0.397,2.237963509555751,-2.9322492187908686
0.029,0.017960937500000003,0.13401842224112326,0.16807642388252053,0.09375,0.303,-0.397,2.2608832049585574,-2.9622793147476814
0.058,0.017372093023255816,0.13180323601207908,0.16733755472134454,0.09302325581395349,0.303,-0.397,2.298881341367306,-3.0120656518904974
0.112,0.016376923076923077,0.12797235278341598,0.16670080078466484,0.09230769230769231,0.303,-0.397,2.3676989084728772,-3.102232563246641
0.187,0.014824427480916032,0.12175560554206953,0.16644755069876194,0.0916030534351145,0.303,-0.397,2.4885917872200642,-3.260630163453352
0.229,0.012977272727272728,0.11391783322760633,0.16656264643055602,0.09090909090909091,0.303,-0.397,2.6598118259027097,-3.4849679699121316
0.228,0.011165413533834587,0.10566652040185003,0.16672716259375875,0.09022556390977443,0.303,-0.397,2.8675118556728307,-3.7571029924162174
0.191,0.009656716417910449,0.09826859324275711,0.16664721368615995,0.08955223880597014,0.303,-0.397,3.0833859527375767,-4.0399479314746465
0.029,0.009370370370370371,0.09680067339833112,0.1660046308045642,0.08888888888888889,0.303,-0.397,3.1301435141175764,-4.101211138959333
-0.174,0.01058088235294118,0.10286341600851674,0.16628865470827703,0.09558823529411764,0.303,-0.397,2.945653680944376,-3.8594868360888364
